rndrng_npi,rndrng_prvdr_type,rndrng_prvdr_state_abrvtn,row_count,total_beneficiaries,total_services,estimated_submitted_charges,estimated_medicare_allowed,estimated_medicare_payment,estimated_standardized_payment,avg_payment_per_service,charge_to_payment_ratio,allowed_to_payment_ratio
1649386087,Ambulance Service Provider,NJ,4,7647,63278.2,4739050.200001291,3250592.800002386,2586652.249996377,2376900.750013542,40.87746253838411,1.832117247306022,1.2566794782742592
1669444030,Radiation Oncology,KS,22,2383,21048.0,8898701.0000019,3239132.2900320874,2583650.2799721533,2661174.769999095,122.75039338522203,3.444235881683573,1.25370384495962
1245394295,Rheumatology,PA,56,3663,331848.0,6184907.29999933,3274215.1100105206,2583194.4300055318,2621687.810007154,7.784269997123779,2.3942864029735795,1.2675062596830968
1053358978,Ophthalmology,AZ,13,2473,23223.0,9324389.999993801,3291923.6299799876,2582775.6299912627,2600788.149998737,111.21627825824667,3.6102206834069226,1.2745681784178535
1134191976,Ophthalmology,FL,22,6317,15801.0,8169208.37000373,3296140.389982007,2582556.799995115,2588043.690003984,163.44261755554174,3.1632250527923267,1.276308962493387
1548587769,Ophthalmology,TX,17,2396,18185.0,6676884.00000325,3274952.089986508,2582001.3500115112,2614003.7999996333,141.98522683593683,2.585933582092621,1.2683773732232584
1306058581,Internal Medicine,NY,105,22528,275561.0,12553561.619996402,3203450.3699939502,2581908.899995863,2448589.3400070793,9.369645559407402,4.862124151636999,1.2407294347213735
1487657862,Ambulatory Surgical Center,NM,14,2039,305268.0,6777791.000036534,3266765.1299509164,2581798.01999966,2663936.540008109,8.45748005031533,2.625221240210505,1.2653062341225851
1649217464,Hematology-Oncology,MD,79,8852,333849.0,13127814.000003148,3233330.440007789,2580897.999996432,2516809.6299999426,7.730734553634823,5.086529572273409,1.2527928031298636
1760476964,Ophthalmology,TX,32,5429,28029.0,9482600.01002428,3319144.79001256,2580527.569987474,2620736.959993233,92.06634449989204,3.6746749464375257,1.2862272151692884
1194767640,Rheumatology,TX,71,11158,270739.0,6780207.989923494,3251751.4500000584,2579911.0300182467,2621391.6300027533,9.529144415907005,2.6280782209282387,1.26041224374201
1649707324,Ambulatory Surgical Center,MD,25,2937,14914.0,14204694.00001504,3254447.76999683,2579757.50000476,2544537.8399985502,172.97555987694514,5.506212890160735,1.261532438607437
1699434241,Clinical Laboratory,SC,245,138352,211037.0,6762946.520006927,2579608.500006098,2579608.500006098,2591088.130005693,12.223489245990503,2.6216949277345534,1.0
1972780146,Rheumatology,CA,15,1337,282953.0,4186413.599971726,3264327.230010261,2577575.8500208133,2585860.179989281,9.109554767119675,1.6241669861773114,1.2664330440494709
1366550360,Ambulance Service Provider,CA,6,7083,55996.4,17360163.880234297,3267619.1199901537,2577371.5399937294,2332195.510008352,46.02745069314687,6.735607812398104,1.2678106626404757
1346215316,Ambulatory Surgical Center,MD,21,2945,8856.0,7302257.0,3236204.520020958,2576768.79999837,2651231.3300025268,290.96305329701556,2.833881332312243,1.2559157499978288
